annualized_return_3.0,annualized_vol_3.0,sharpe_ratio_3.0,max_drawdown_3.0,profile_id,period,annualized_return_420_static,annualized_vol_420_static,sharpe_ratio_420_static,max_drawdown_420_static,delta_return,delta_vol,delta_sharpe,delta_sigma,sigma_mid,max_drawdown_tolerance,abs_delta_sigma_3.0,abs_delta_sigma_420_static
0.081920,0.060536,0.962455,-0.061323,C4_S4,10y,0.075634,0.081581,0.662335,-0.123788,0.006286,-0.021045,0.300120,-0.021045,0.100800,-0.200000,0.040264,0.019219
0.080104,0.092471,0.618563,-0.289610,C4_S4,20y,0.086700,0.130551,0.518004,-0.408886,-0.006596,-0.038080,0.100558,-0.038080,0.100800,-0.200000,0.008329,0.029751
0.275299,0.083039,2.830391,-0.005042,C4_S5,1y,0.196301,0.061896,2.724525,-0.006536,0.078998,0.021143,0.105866,0.021143,0.093600,-0.200000,0.010561,0.031704
0.148658,0.098451,1.296433,-0.076172,C4_S5,3y,0.107425,0.084176,1.064238,-0.074888,0.041233,0.014275,0.232196,0.014275,0.093600,-0.200000,0.004851,0.009424
0.092780,0.096906,0.778247,-0.134345,C4_S5,5y,0.064259,0.083874,0.569316,-0.123788,0.028521,0.013032,0.208931,0.013032,0.093600,-0.200000,0.003306,0.009726
0.095784,0.094301,0.781824,-0.134345,C4_S5,10y,0.075634,0.081581,0.662335,-0.123788,0.020150,0.012720,0.119490,0.012720,0.093600,-0.200000,0.000701,0.012019
0.096824,0.146819,0.539670,-0.452444,C4_S5,20y,0.086700,0.130551,0.518004,-0.408886,0.010124,0.016268,0.021666,0.016268,0.093600,-0.200000,0.053219,0.036951
0.239508,0.072621,2.827237,-0.004268,C4_S6,1y,0.152448,0.046700,2.784945,-0.005291,0.087060,0.025921,0.042291,0.025921,0.086400,-0.200000,0.013779,0.039700
0.131114,0.090216,1.234565,-0.072981,C4_S6,3y,0.090535,0.064530,1.126838,-0.053850,0.040579,0.025686,0.107727,0.025686,0.086400,-0.200000,0.003816,0.021870
0.081401,0.089173,0.720091,-0.125397,C4_S6,5y,0.057790,0.064135,0.626994,-0.084679,0.023612,0.025037,0.093097,0.025037,0.086400,-0.200000,0.002773,0.022265
0.087200,0.086835,0.750562,-0.125397,C4_S6,10y,0.066614,0.062714,0.705278,-0.084679,0.020586,0.024121,0.045284,0.024121,0.086400,-0.200000,0.000435,0.023686
0.092027,0.136660,0.536847,-0.425995,C4_S6,20y,0.076916,0.100769,0.546589,-0.320380,0.015111,0.035891,-0.009742,0.035891,0.086400,-0.200000,0.050260,0.014369
0.217655,0.067235,2.779806,-0.005318,C4_S7,1y,0.152448,0.046700,2.784945,-0.005291,0.065207,0.020536,-0.005139,0.020536,0.057600,-0.200000,0.009635,0.010900
0.118081,0.087248,1.140014,-0.074675,C4_S7,3y,0.090535,0.064530,1.126838,-0.053850,0.027547,0.022718,0.013176,0.022718,0.057600,-0.200000,0.029648,0.006930
0.071799,0.086628,0.635507,-0.126025,C4_S7,5y,0.057790,0.064135,0.626994,-0.084679,0.014009,0.022493,0.008513,0.022493,0.057600,-0.200000,0.029028,0.006535
0.080870,0.084230,0.701780,-0.126025,C4_S7,10y,0.066614,0.062714,0.705278,-0.084679,0.014255,0.021515,-0.003499,0.021515,0.057600,-0.200000,0.026630,0.005114
0.088886,0.133618,0.524298,-0.418502,C4_S7,20y,0.076916,0.100769,0.546589,-0.320380,0.011970,0.032849,-0.022291,0.032849,0.057600,-0.200000,0.076018,0.043169
0.261533,0.078771,2.839405,-0.004657,C5_S1,1y,0.219468,0.073151,2.581061,-0.008831,0.042066,0.005619,0.258344,0.005619,0.128000,-0.250000,0.049229,0.054849
0.143069,0.093731,1.304589,-0.072035,C5_S1,3y,0.111177,0.101592,0.930505,-0.097230,0.031892,-0.007861,0.374084,-0.007861,0.128000,-0.250000,0.034269,0.026408
0.090015,0.092263,0.785207,-0.126240,C5_S1,5y,0.060836,0.101727,0.453369,-0.162300,0.029179,-0.009464,0.331839,-0.009464,0.128000,-0.250000,0.035737,0.026273
0.092978,0.089863,0.787286,-0.126240,C5_S1,10y,0.078014,0.098496,0.586435,-0.162300,0.014964,-0.008633,0.200850,-0.008633,0.128000,-0.250000,0.038137,0.029504
0.094620,0.140113,0.544111,-0.434532,C5_S1,20y,0.092420,0.157891,0.486772,-0.481228,0.002200,-0.017778,0.057339,-0.017778,0.128000,-0.250000,0.012113,0.029891
0.229395,0.072428,2.719777,-0.006465,C5_S2,1y,0.219468,0.073151,2.581061,-0.008831,0.009928,-0.000724,0.138716,-0.000724,0.120000,-0.250000,0.047572,0.046849
0.119999,0.095794,1.064178,-0.085902,C5_S2,3y,0.111177,0.101592,0.930505,-0.097230,0.008821,-0.005798,0.133672,-0.005798,0.120000,-0.250000,0.024206,0.018408
0.070105,0.095403,0.568546,-0.145381,C5_S2,5y,0.060836,0.101727,0.453369,-0.162300,0.009268,-0.006325,0.115178,-0.006325,0.120000,-0.250000,0.024597,0.018273
0.082092,0.092546,0.658903,-0.145381,C5_S2,10y,0.078014,0.098496,0.586435,-0.162300,0.004077,-0.005950,0.072468,-0.005950,0.120000,-0.250000,0.027454,0.021504
0.091821,0.147156,0.507438,-0.455143,C5_S2,20y,0.092420,0.157891,0.486772,-0.481228,-0.000599,-0.010735,0.020666,-0.010735,0.120000,-0.250000,0.027156,0.037891
0.239397,0.072882,2.816109,-0.004184,C5_S3,1y,0.219468,0.073151,2.581061,-0.008831,0.019930,-0.000270,0.235048,-0.000270,0.112000,-0.250000,0.039118,0.038849
